id,area,street,lat,lng,area_type,crime_density,lighting_score,activity_level
1,MG Road,MG Road Main,12.9756,77.605,commercial,0.6,0.2,0.9
2,Brigade Road,Brigade Rd,12.9718,77.6074,commercial,0.5,0.2,0.9
3,Church Street,Church St,12.975,77.607,commercial,0.5,0.3,0.9
4,Indiranagar,100 Feet Rd,12.9719,77.6412,commercial,0.5,0.3,0.8
5,Indiranagar,CMH Road,12.9716,77.64,commercial,0.4,0.3,0.8
6,Koramangala,7th Block Main Rd,12.9352,77.6245,commercial,0.6,0.3,0.7
7,Koramangala,80 Feet Rd,12.935,77.62,commercial,0.5,0.3,0.7
8,Whitefield,ITPL Main Rd,12.9698,77.7499,commercial,0.4,0.4,0.7
9,Whitefield,Hope Farm Junction,12.969,77.75,commercial,0.5,0.4,0.6
10,Commercial Street,Commercial St,12.982,77.608,commercial,0.6,0.3,0.8
11,Yelahanka,Yelahanka New Town Rd,13.1005,77.5963,residential,0.4,0.5,0.5
12,Yelahanka,Bellary Rd Service Rd,13.099,77.595,residential,0.5,0.6,0.4
13,Electronic City,Hosur Rd,12.8456,77.6603,commercial,0.5,0.4,0.6
14,Electronic City,Phase 1 Internal Rd,12.844,77.658,residential,0.4,0.5,0.5
15,Hebbal,Outer Ring Rd,13.0352,77.597,commercial,0.6,0.4,0.6
16,Hebbal,Hebbal Flyover Service Rd,13.035,77.595,isolated,0.6,0.7,0.3
17,Majestic,Gandhi Nagar Main Rd,12.9784,77.5724,commercial,0.7,0.4,0.7
18,Majestic,Platform Rd,12.976,77.571,commercial,0.8,0.5,0.6
19,KR Market,KR Market Rd,12.9656,77.5766,commercial,0.7,0.5,0.7
20,KR Market,Chickpet Main Rd,12.968,77.576,commercial,0.6,0.5,0.6
21,BTM Layout,100 Feet Rd,12.9166,77.6101,residential,0.5,0.5,0.6
22,BTM Layout,2nd Stage Main Rd,12.914,77.61,residential,0.4,0.6,0.5
23,JP Nagar,Outer Ring Rd,12.9081,77.585,residential,0.4,0.5,0.5
24,JP Nagar,7th Phase Main Rd,12.907,77.5855,residential,0.3,0.6,0.5
25,Bannerghatta Rd,Near NICE Junction,12.89,77.6,isolated,0.6,0.8,0.3
26,Bannerghatta Rd,Forest Stretch Rd,12.885,77.595,isolated,0.7,0.9,0.2
27,Sarjapur Rd,Outer Stretch,12.9,77.7,isolated,0.6,0.8,0.3
28,Sarjapur Rd,Inner Stretch,12.92,77.68,residential,0.4,0.5,0.5
29,Marathahalli,Outer Ring Rd,12.9591,77.6974,commercial,0.5,0.4,0.7
30,Marathahalli,Bridge Service Rd,12.958,77.696,isolated,0.6,0.7,0.4
31,HSR Layout,27th Main Rd,12.9121,77.6446,residential,0.4,0.5,0.6
32,HSR Layout,Service Rd,12.911,77.645,isolated,0.5,0.7,0.4
33,Domlur,Inner Ring Rd,12.9611,77.6387,commercial,0.5,0.4,0.7
34,Domlur,Backstreet Rd,12.96,77.637,isolated,0.6,0.7,0.3
35,Ulsoor,Ulsoor Lake Rd,12.9784,77.619,residential,0.4,0.5,0.6
36,Ulsoor,Side Lane Rd,12.977,77.618,isolated,0.5,0.7,0.4
37,Jayanagar,4th Block Main Rd,12.9299,77.582,residential,0.4,0.5,0.6
38,Jayanagar,Side Street,12.9285,77.581,residential,0.3,0.6,0.5
39,Rajajinagar,Dr Rajkumar Rd,12.9915,77.555,residential,0.4,0.5,0.6
40,Rajajinagar,Industrial Rd,12.99,77.553,isolated,0.5,0.7,0.4
41,Peenya,Industrial Area Rd,13.028,77.515,isolated,0.6,0.8,0.3
42,Peenya,Factory Road,13.026,77.514,isolated,0.7,0.9,0.2
43,Kengeri,Kengeri Main Rd,12.908,77.48,residential,0.4,0.6,0.5
44,Kengeri,Outer Stretch Rd,12.905,77.478,isolated,0.6,0.8,0.3
45,Banaswadi,Banaswadi Main Rd,13.015,77.65,residential,0.4,0.5,0.6
46,Banaswadi,Service Rd,13.014,77.648,isolated,0.5,0.7,0.4
47,RT Nagar,RT Nagar Main Rd,13.02,77.59,residential,0.4,0.5,0.6
48,RT Nagar,Inner Lane,13.019,77.588,isolated,0.5,0.7,0.4
49,Shivajinagar,Central St,12.984,77.603,commercial,0.7,0.4,0.7
50,Shivajinagar,Back Alley,12.983,77.602,isolated,0.8,0.8,0.3
